cohort_month,num_users_in_cohort,total_transactions,total_revenue_generated,avg_revenue
2023-01,3530,37844,1.4857602489999998E7,392.60127074305035
2023-02,2035,21336,8266696.950000002,387.4529879077616
2023-03,1522,15192,5930054.709999998,390.34062072143223
2023-04,1004,9638,3788916.1000000006,393.1226499273709
2023-05,635,5769,2242762.09,388.7609793725082
2023-06,428,3746,1406692.9499999995,375.5186732514681
2023-07,284,2459,969832.3900000006,394.4011346075643
2023-08,190,1535,596004.6,388.27661237785014
2023-09,126,932,379393.97000000026,407.0750751072964
2023-10,82,572,237653.15999999997,415.4775524475524
2023-11,54,345,142868.74000000005,414.1122898550726
2023-12,38,252,89658.53,355.78781746031746
2024-01,19,111,39868.380000000005,359.1745945945946
2024-02,17,102,42292.74999999999,414.63480392156856
2024-03,11,55,8948.77,162.7049090909091
2024-04,9,55,44594.26,810.8047272727273
2024-05,5,27,11685.77,432.8062962962963
2024-06,4,8,2678.7400000000002,334.84250000000003
2024-07,3,9,3152.21,350.24555555555554
2024-08,1,6,1021.6899999999998,170.28166666666664
2024-10,3,6,3336.36,556.0600000000001
