merchant_id,merchant_name,merchant_category,region,commission_rate,total_turnover,num_of_transactions,num_of_unique_clients,avg_transaction_amount,rank_in_category_region,total_commission_earned,Adulte,Age Moyen,Jeune,Senior
M00275,MotorHub 76,Automotive,Auvergne-Rhône-Alpes,0.0236,334009.9900000001,265,252,1260.415056603774,1,7882.635764000002,99829.05000000003,97844.82999999999,38199.77000000001,98136.34
M00481,AutoCenter 82,Automotive,Auvergne-Rhône-Alpes,0.0588,273924.18999999994,246,236,1113.5129674796747,2,16106.742371999997,87491.09999999998,100485.96999999997,19862.519999999997,66084.59999999999
M00045,AutoShop 46,Automotive,Auvergne-Rhône-Alpes,0.0567,247208.34000000003,181,177,1365.7919337016576,3,14016.712878000002,73669.31,83718.16,18037.139999999996,71783.73
M00248,CarParts 49,Automotive,Auvergne-Rhône-Alpes,0.0645,213643.21000000002,176,170,1213.881875,4,13779.987045000002,73404.42,60555.6,17717.8,61965.39
M00235,CarParts 36,Automotive,Auvergne-Rhône-Alpes,0.0622,195075.13999999996,201,195,970.5230845771142,5,12133.673707999997,46907.83,64266.299999999996,41844.540000000015,42056.470000000016
M00114,AutoCenter 15,Automotive,Auvergne-Rhône-Alpes,0.0203,173645.63000000018,160,157,1085.285187500001,6,3525.0062890000036,53151.54,51253.369999999995,22619.350000000002,46621.36999999999
M00225,MotorHub 26,Automotive,Auvergne-Rhône-Alpes,0.0798,132943.35999999996,154,153,863.2685714285711,7,10608.880127999995,39764.610000000015,40295.89000000001,8800.899999999998,44081.95999999999
M00469,MotorHub 70,Automotive,Auvergne-Rhône-Alpes,0.038,106552.52999999998,138,132,772.1197826086956,8,4048.9961399999993,28263.180000000004,35403.64,17589.220000000005,25296.490000000005
M00003,CarParts 4,Automotive,Auvergne-Rhône-Alpes,0.0786,91536.56999999999,106,105,863.5525471698113,9,7194.774402,31582.089999999993,29168.0,9588.970000000001,21197.510000000006
M00080,MotorHub 81,Automotive,Bretagne,0.0163,307285.5900000001,284,271,1081.9915140845073,1,5008.755117000001,87866.55999999998,87689.13000000005,28546.850000000006,103183.04999999999
M00345,AutoShop 46,Automotive,Bretagne,0.0426,276435.57000000007,207,199,1335.4375362318845,2,11776.155282000003,84288.70000000001,66837.73999999998,41019.84,84289.29000000002
M00399,AutoShop 100,Automotive,Bretagne,0.0706,253984.18000000002,231,223,1099.4986147186148,3,17931.283108,59733.619999999995,101884.36000000002,35969.51000000001,56396.68999999998
M00464,AutoCenter 65,Automotive,Bretagne,0.0825,207651.8899999999,238,227,872.4869327731088,4,17131.280924999992,58817.00999999999,72123.37999999996,29541.859999999997,47169.639999999985
M00414,AutoCenter 15,Automotive,Bretagne,0.0513,153909.52000000008,137,133,1123.4271532846722,5,7895.558376000004,34179.97,51507.44999999999,19833.1,48389.0
M00015,CarParts 16,Automotive,Bretagne,0.0107,120855.81000000004,103,100,1173.3573786407771,6,1293.1571670000003,25923.659999999996,39053.59000000001,16512.090000000004,39366.47
M00262,CarParts 63,Automotive,Grand Est,0.031,549507.4700000003,404,375,1360.1670049504958,1,17034.73157000001,163576.60000000006,199064.0500000001,44644.78,142222.03999999998
M00283,AutoShop 84,Automotive,Grand Est,0.0482,377655.64999999997,312,300,1210.4347756410255,2,18203.00233,102266.88999999998,106434.04999999999,51625.04000000001,117329.66999999998
M00477,AutoShop 78,Automotive,Grand Est,0.0568,275093.9800000001,179,177,1536.8378770949726,3,15625.338064000007,65706.62,107406.48999999998,24673.259999999995,77307.61000000002
