transaction_id,user_id,product_id,merchant_id,amount,timestamp,location,payment_method,category
TX000001,U00918,P03521,M00272,57.23,20240701021822,Grenoble,CRYPTO,Books
TX000002,U00499,P03181,M00242,29.8,20240210090711,Strasbourg,BANK_TRANSFER,Books
TX000003,U07717,P00014,M00402,164.43,20230802210443,Paris,BANK_TRANSFER,Health
TX000004,U06084,P00215,M00444,196.01,20231207113154,Dijon,CARD,Clothing
TX000005,U01747,P03553,M00027,1093.57,20230801053025,Toulon,CASH,Electronics
TX000006,U02816,P00041,M00168,23.01,20240313010618,Paris,CASH,Health
TX000007,U02007,P01482,M00246,118.17,20231108013405,Le Havre,CRYPTO,Beauty
TX000008,U04840,P04147,M00495,9.59,20240203215004,Nice,CARD,Books
TX000009,U01225,P02535,M00416,11.82,20240128042629,Montpellier,CASH,Food
TX000010,U04578,P02891,M00383,109.91,20240207112916,Bordeaux,CASH,Clothing
TX000011,U00657,P04434,M00196,428.44,20230507175032,Bordeaux,CASH,Clothing
TX000012,U03652,P03204,M00080,393.88,20241219042437,Bordeaux,CARD,Automotive
TX000013,U06896,P03294,M00125,71.72,20240607080255,Strasbourg,CRYPTO,Toys
TX000014,U01120,P02962,M00361,497.69,20230615204844,Dijon,CARD,Sports
TX000015,U00155,P00712,M00500,11.88,20241109063201,Nîmes,BANK_TRANSFER,Clothing
TX000016,U04129,P04171,M00413,16.64,20230101222223,Dijon,CASH,Toys
TX000017,U09439,P00779,M00302,5.45,20240711181148,Nantes,CRYPTO,Books
TX000018,U08632,P03493,M00453,21.32,20230618004642,Lille,BANK_TRANSFER,Books
TX000019,U03586,P00497,M00010,41.75,20241221152459,Saint-Etienne,CASH,Books
TX000020,U07573,P02978,M00051,407.26,20230817074456,Lyon,BANK_TRANSFER,Sports
TX000021,U03561,P02835,M00131,156.54,20230818052716,Reims,CRYPTO,Beauty
TX000022,U09184,P04396,M00431,514.18,20231227232913,Bordeaux,CARD,Sports
TX000023,U06140,P03893,M00386,704.94,20231224000929,Angers,CARD,Electronics
TX000024,U00998,P00497,M00010,22.03,20230530015024,Rennes,CARD,Books
TX000025,U03478,P04756,M00211,158.18,20230322190854,Dijon,CASH,Clothing
TX000026,U00077,P01415,M00181,965.16,20240531203543,Angers,PAYPAL,Sports
TX000027,U03610,P04491,M00339,122.1,20230317150238,Montpellier,CARD,Beauty
TX000028,U03340,P03131,M00217,1665.69,20240206183948,Bordeaux,CASH,Electronics
TX000029,U04507,P04832,M00305,1961.05,20240509182728,Saint-Etienne,BANK_TRANSFER,Automotive
TX000030,U02801,P03503,M00012,1384.78,20240328100831,Toulouse,BANK_TRANSFER,Electronics
TX000031,U09156,P00631,M00204,126.19,20241219204842,Reims,CRYPTO,Toys
TX000032,U05535,P03871,M00422,41.44,20230320161753,Nîmes,CASH,Beauty
TX000033,U03607,P00972,M00198,40.19,20240515224006,Nice,PAYPAL,Toys
TX000034,U07039,P04754,M00052,191.8,20231112224336,Grenoble,PAYPAL,Clothing
TX000035,U02357,P00073,M00330,61.1,20230616195149,Paris,PAYPAL,Health
TX000036,U06351,P02411,M00196,62.33,20240414134517,Strasbourg,PAYPAL,Clothing
TX000037,U09914,P01122,M00264,177.52,20240127093437,Toulon,BANK_TRANSFER,Clothing
TX000038,U09834,P04638,M00118,180.23,20230310231129,Reims,CASH,Sports
TX000039,U05123,P02352,M00426,1388.62,20240130135145,Nîmes,BANK_TRANSFER,Electronics
TX000040,U00689,P03017,M00326,154.06,20230203234439,Grenoble,BANK_TRANSFER,Health
TX000041,U02371,P00216,M00246,16.39,20241025092811,Nîmes,CASH,Beauty
TX000042,U05227,P00852,M00009,460.7,20240719043610,Nice,CASH,Home & Garden
TX000043,U02586,P00332,M00466,788.03,20240112010446,Toulon,CRYPTO,Home & Garden
TX000044,U07334,P04991,M00462,9.65,20240601145715,Paris,BANK_TRANSFER,Books
TX000045,U04326,P00530,M00455,135.98,20230630183856,Paris,BANK_TRANSFER,Food
TX000046,U04513,P03058,M00144,1891.22,20240315080220,Paris,CRYPTO,Electronics
TX000047,U00310,P00440,M00001,1134.74,20240910062843,Marseille,BANK_TRANSFER,Electronics
TX000048,U08872,P04334,M00054,17.2,20231101084843,Montpellier,CARD,Books
TX000049,U07223,P01591,M00346,2006.07,20230823022156,Rennes,CRYPTO,Electronics
TX000050,U00562,P01609,M00088,22.27,20240327022020,Lyon,BANK_TRANSFER,Clothing
TX000051,U03803,P02013,M00315,6.48,20240810234613,Bordeaux,CARD,Food
TX000052,U01005,P00765,M00015,1827.76,20240302135435,Montpellier,CASH,Automotive
TX000053,U00167,P04621,M00323,30.59,20240816100836,Marseille,CASH,Books
TX000054,U07775,P04401,M00424,17.82,20241218004300,Lille,CRYPTO,Health
TX000055,U04226,P00180,M00335,215.12,20240410102043,Dijon,CRYPTO,Clothing
TX000056,U07005,P01028,M00027,213.23,20230226001659,Lyon,CASH,Electronics
TX000057,U05866,P03525,M00221,101.24,20241106051506,Strasbourg,CRYPTO,Food
TX000058,U01653,P04984,M00070,36.1,20241211180441,Le Havre,CASH,Food
TX000059,U05874,P02889,M00146,485.57,20240912114545,Lille,BANK_TRANSFER,Clothing
TX000060,U03024,P03315,M00195,800.47,20231220102635,Grenoble,CASH,Home & Garden
TX000061,U05842,P04259,M00248,810.67,20240302233949,Marseille,CASH,Automotive
TX000062,U00495,P00314,M00053,1461.12,20230219002503,Toulon,BANK_TRANSFER,Automotive
TX000063,U08695,P03312,M00160,332.06,20240719122248,Saint-Etienne,BANK_TRANSFER,Home & Garden
TX000064,U09903,P04233,M00425,31.07,20240817004308,Rennes,CASH,Books
TX000065,U05787,P00970,M00407,816.21,20230413035507,Bordeaux,CARD,Home & Garden
TX000066,U01273,P00206,M00364,73.37,20240712061155,Toulouse,CASH,Toys
TX000067,U01187,P03963,M00205,54.49,20241013003820,Lyon,CRYPTO,Beauty
TX000068,U04413,P03651,M00472,245.28,20241130161502,Toulouse,CARD,Clothing
TX000069,U03556,P02041,M00123,31.3,20240524001510,Toulon,BANK_TRANSFER,Books
TX000070,U04367,P00865,M00019,213.51,20240420154418,Paris,CARD,Clothing
TX000071,U07232,P03106,M00352,343.87,20230802124931,Nantes,CASH,Sports
TX000072,U04718,P02182,M00203,347.1,20231022201753,Lille,CASH,Automotive
TX000073,U03286,P03458,M00459,385.08,20241030080822,Le Havre,PAYPAL,Electronics
TX000074,U08387,P03077,M00033,314.77,20230106185929,Paris,CARD,Home & Garden
TX000075,U05134,P04410,M00325,142.22,20240420065224,Marseille,CRYPTO,Beauty
TX000076,U09749,P01134,M00288,33.33,20240508185344,Toulon,PAYPAL,Books
TX000077,U00083,P00172,M00432,51.35,20231105053634,Grenoble,CARD,Toys
TX000078,U00621,P02265,M00027,2515.52,20240331213717,Montpellier,CARD,Electronics
TX000079,U08543,P00594,M00497,215.85,20231028223753,Lille,BANK_TRANSFER,Clothing
TX000080,U04603,P00154,M00357,130.04,20240224115635,Nantes,PAYPAL,Automotive
TX000081,U00446,P03241,M00209,677.52,20240720013619,Grenoble,BANK_TRANSFER,Sports
TX000082,U05756,P04726,M00461,216.35,20230829144519,Nice,CASH,Clothing
TX000083,U07388,P03770,M00295,137.6,20240221211435,Nice,BANK_TRANSFER,Beauty
TX000084,U08138,P01230,M00038,65.14,20241201171631,Villeurbanne,PAYPAL,Books
TX000085,U00050,P01639,M00284,1450.34,20230918150217,Angers,CASH,Electronics
TX000086,U06170,P01606,M00075,84.4,20231002022650,Paris,CARD,Food
TX000087,U07443,P01080,M00309,111.47,20240714215001,Dijon,CARD,Clothing
TX000088,U03129,P02133,M00001,1983.67,20231005060453,Angers,CRYPTO,Electronics
TX000089,U05889,P00768,M00245,113.7,20240930203617,Marseille,PAYPAL,Electronics
TX000090,U06382,P03610,M00424,77.92,20230831114916,Lyon,CASH,Health
TX000091,U08175,P00371,M00270,13.47,20230420040518,Nantes,CASH,Toys
TX000092,U03650,P00549,M00117,39.83,20230920160800,Toulouse,CASH,Home & Garden
TX000093,U04859,P01238,M00095,64.12,20230905115620,Rennes,CRYPTO,Books
TX000094,U06282,P00475,M00272,22.81,20240906132427,Toulon,CRYPTO,Books
TX000095,U01075,P01081,M00403,115.52,20230207114015,Toulouse,CARD,Health
TX000096,U01215,P00210,M00095,15.39,20230924045325,Toulon,CASH,Books
TX000097,U03800,P04896,M00131,54.65,20230514115807,Montpellier,CRYPTO,Beauty
TX000098,U03380,P03405,M00415,191.72,20240514064939,Marseille,BANK_TRANSFER,Toys
TX000099,U09604,P01488,M00489,57.92,20230825223905,Montpellier,CASH,Health
TX000100,U03042,P02883,M00454,50.78,20230212234846,Le Havre,CRYPTO,Food
TX000101,U08788,P04428,M00114,238.77,20231210015208,Reims,CARD,Automotive
TX000102,U05282,P04708,M00481,595.03,20230603111505,Dijon,BANK_TRANSFER,Automotive
TX000103,U03682,P01923,M00426,1541.14,20240903092814,Nîmes,CARD,Electronics
TX000104,U07875,P00030,M00443,169.26,20230506013813,Nîmes,CASH,Clothing
TX000105,U02534,P02788,M00034,117.17,20230102013800,Saint-Etienne,BANK_TRANSFER,Toys
TX000106,U01150,P02893,M00121,1765.6,20241003203918,Nantes,CARD,Electronics
TX000107,U05106,P01966,M00464,145.32,20230419023814,Villeurbanne,PAYPAL,Automotive
TX000108,U04339,P01994,M00233,85.11,20230806102001,Lyon,BANK_TRANSFER,Food
TX000109,U06796,P04503,M00018,142.09,20231208014044,Saint-Etienne,CASH,Health
TX000110,U05928,P03349,M00325,211.59,20230506224043,Toulon,CASH,Beauty
TX000111,U09434,P01000,M00080,24.88,20240308005306,Saint-Etienne,CASH,Automotive
TX000112,U06575,P01079,M00218,53.09,20230407084356,Saint-Etienne,CARD,Books
TX000113,U08214,P03489,M00270,28.9,20241106051757,Strasbourg,CASH,Toys
TX000114,U00954,P01896,M00143,107.09,20240211224422,Grenoble,CRYPTO,Beauty
TX000115,U05562,P01053,M00384,651.28,20231127151832,Marseille,PAYPAL,Electronics
TX000116,U02033,P00022,M00340,192.79,20240220040040,Villeurbanne,PAYPAL,Electronics
TX000117,U09517,P02825,M00147,243.87,20240901155742,Le Havre,BANK_TRANSFER,Clothing
TX000118,U01190,P04830,M00198,199.04,20240708100630,Lille,BANK_TRANSFER,Toys
TX000119,U02851,P04879,M00275,733.23,20240801224914,Strasbourg,CRYPTO,Automotive
TX000120,U07248,P03325,M00177,903.71,20240714082215,Lille,CARD,Automotive
TX000121,U02255,P03162,M00076,375.0,20230526155858,Angers,CARD,Electronics
TX000122,U07899,P00259,M00042,63.54,20241107020305,Paris,CRYPTO,Food
TX000123,U09430,P00456,M00040,15.94,20240724195038,Grenoble,PAYPAL,Books
TX000124,U00070,P03205,M00341,427.39,20240828021240,Toulouse,PAYPAL,Clothing
TX000125,U08666,P04998,M00270,153.32,20230104130114,Toulouse,BANK_TRANSFER,Toys
TX000126,U02279,P00545,M00297,61.1,20230718001427,Toulon,PAYPAL,Beauty
